datetime,假日,周末,早高峰,晚高峰,阵雨,晴,雷阵雨,多云,阴,小雨,雨夹雪,中雨,大雨,小到中雨,暴雨,中到大雨,实际人数,滤波人数,测试集,BP_NO,BP_YES,RNN_NO,RNN_YES,FBP_NO,FBP_YES,FRNN_NO,FRNN_YES
2017-02-02 00:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,7.4011299435028235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 01:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,8.716855343824323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 02:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6.658427731862468,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 03:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,7.029768900920105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 04:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.4563507705395216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 05:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5.593447999722039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 06:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,5.941213986511804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 07:00:00,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5.222258174877277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 08:00:00,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5.1682856666372965,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 09:00:00,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.1599114172153255,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 10:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.397152857457416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 11:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4.2657310617901105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 12:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.4789989714773046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 13:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.8820458763327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 14:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.4289513815765744,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 15:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8442734578241586,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 16:00:00,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.4003703481008194,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02 17:00:00,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0633271280278376,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
