time,假日,周末,早高峰,晚高峰,阵雨,晴,雷阵雨,多云,阴,小雨,雨夹雪,中雨,大雨,小到中雨,暴雨,中到大雨,实际人数,0111_BP_msle_adam_relu_0,测试集
2017-02-02 00:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,1
2017-02-02 01:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.12613271176815033,0
2017-02-02 02:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,0
2017-02-02 03:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3055262565612793,0
2017-02-02 04:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3498048186302185,0
2017-02-02 05:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.406158983707428,0
2017-02-02 06:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.285729318857193,0
2017-02-02 07:00:00,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.4737354516983032,0
2017-02-02 08:00:00,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.3098804950714111,0
2017-02-02 09:00:00,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1.4631901979446411,0
2017-02-02 10:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,0
2017-02-02 11:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,0
2017-02-02 12:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.9160044193267822,0
2017-02-02 13:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3498048186302185,0
2017-02-02 14:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.24418717622756958,0
2017-02-02 15:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,0
2017-02-02 16:00:00,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.19984875619411469,0
2017-02-02 17:00:00,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.19984875619411469,0
2017-02-02 18:00:00,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.19984875619411469,0
2017-02-02 19:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,0
2017-02-02 20:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,0
2017-02-02 21:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,0
2017-02-02 22:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12613271176815033,0
2017-02-02 23:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3055262565612793,0
2017-02-03 00:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 01:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4126495122909546,0
2017-02-03 02:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 03:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 04:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 05:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.45534372329711914,0
2017-02-03 06:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.45534372329711914,0
2017-02-03 07:00:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1.1401171684265137,0
2017-02-03 08:00:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.506286859512329,0
2017-02-03 09:00:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.805947482585907,0
2017-02-03 10:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.45534372329711914,0
2017-02-03 11:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.45534372329711914,0
2017-02-03 12:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5299954414367676,0
2017-02-03 13:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,1
2017-02-03 14:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4126495122909546,0
2017-02-03 15:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 16:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2511622905731201,0
2017-02-03 17:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2511622905731201,0
2017-02-03 18:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2511622905731201,0
2017-02-03 19:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 20:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 21:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 22:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-03 23:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45534372329711914,0
2017-02-04 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 01:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.12798535823822021,1
2017-02-04 02:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 03:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 04:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 05:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5141029357910156,0
2017-02-04 06:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0.5802028775215149,0
2017-02-04 07:00:00,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.640906572341919,0
2017-02-04 08:00:00,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5403066873550415,0
2017-02-04 09:00:00,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1.3011910915374756,0
2017-02-04 10:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5802028775215149,0
2017-02-04 11:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5141029357910156,0
2017-02-04 12:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 13:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.12798535823822021,0
2017-02-04 14:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.12798535823822021,0
2017-02-04 15:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 16:00:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.40429484844207764,0
2017-02-04 17:00:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.40429484844207764,0
2017-02-04 18:00:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.40429484844207764,0
2017-02-04 19:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 20:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 21:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 22:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-04 23:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12798535823822021,0
2017-02-05 00:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.24886924028396606,0
2017-02-05 01:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.62516850233078,0
2017-02-05 02:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.24886924028396606,0
2017-02-05 03:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.24886924028396606,0
2017-02-05 04:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.5580517649650574,0
2017-02-05 05:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5510005950927734,1
2017-02-05 06:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1.3739664554595947,0
2017-02-05 07:00:00,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2.4947667121887207,0
2017-02-05 08:00:00,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2.4947667121887207,0
2017-02-05 09:00:00,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.21051025390625,0
2017-02-05 10:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.24886924028396606,0
2017-02-05 11:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5510005950927734,0
2017-02-05 12:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.24886924028396606,0
2017-02-05 13:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.5510005950927734,0
2017-02-05 14:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5085869431495667,0
2017-02-05 15:00:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.24886924028396606,0
2017-02-05 16:00:00,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.19930998980998993,0
2017-02-05 17:00:00,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.19930998980998993,0
2017-02-05 18:00:00,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.19930998980998993,0
